"kernel","gsize","device","input_bytes","output_bytes","device_mean","transfer_mean","machine","hostcode_mean","devicetransfer","#device"
"npb-3.3-CG-conj_grad_0","17000","NvidiaA100","136000","544000","0.00967168","0.2330753884051513","epyc7","0.2427470684051513","0.2427470684051512","1"
"npb-3.3-CG-conj_grad_0","19000","NvidiaA100","152000","608000","0.0076646399999999","0.2325587677453613","epyc7","0.2402234077453613","0.2402234077453612","1"
"npb-3.3-CG-main_0","1000","NvidiaA100","8008","4000","0.0129075199999999","0.1647393553814697","epyc7","0.1776468753814697","0.1776468753814696","1"
"npb-3.3-CG-main_0","3000","NvidiaA100","24008","12000","0.012416","0.1247831634368896","epyc7","0.1371991634368896","0.1371991634368896","1"
"npb-3.3-CG-main_0","5000","NvidiaA100","40008","20000","0.0154931199999999","0.1257782327679443","epyc7","0.1412713527679443","0.1412713527679442","1"
"npb-3.3-CG-main_0","7000","NvidiaA100","56008","28000","0.01877504","0.1204876362390136","epyc7","0.1392626762390136","0.1392626762390136","1"
"npb-3.3-CG-main_0","9000","NvidiaA100","72008","36000","0.02379264","0.1281181418603515","epyc7","0.1519107818603515","0.1519107818603515","1"
"npb-3.3-CG-main_0","11000","NvidiaA100","88008","44000","0.0408064","0.1363386042724609","epyc7","0.1771450042724609","0.1771450042724608","1"
"npb-3.3-CG-main_0","13000","NvidiaA100","104008","52000","0.04458496","0.1356857118444824","epyc7","0.1802706718444824","0.1802706718444824","1"
"npb-3.3-CG-main_0","15000","NvidiaA100","120008","60000","0.04121088","0.1315412619525146","epyc7","0.1727521419525146","0.1727521419525146","1"
"npb-3.3-CG-main_0","17000","NvidiaA100","136008","68000","0.04767232","0.136506032355957","epyc7","0.184178352355957","0.184178352355957","1"
"npb-3.3-CG-main_0","19000","NvidiaA100","152008","76000","0.05370368","0.140547857322998","epyc7","0.194251537322998","0.194251537322998","1"
"npb-3.3-CG-makea_1","1000","NvidiaA100","20004","8000","12.04365312","0.1660198078564458","epyc7","12.209672927856444","12.209672927856444","1"
"npb-3.3-CG-makea_2","1000","NvidiaA100","16000","4000","0.14258688","0.1472740838214111","epyc7","0.2898609638214111","0.2898609638214111","1"
"npb-3.3-CG-makea_2","3000","NvidiaA100","48000","12000","0.8371660799999999","0.1467385201434326","epyc7","0.9839046001434326","0.9839046001434324","1"
"npb-3.3-CG-makea_2","5000","NvidiaA100","80000","20000","1.3457612799999998","0.1456172657611084","epyc7","1.4913785457611084","1.4913785457611082","1"
"npb-3.3-CG-makea_2","7000","NvidiaA100","112000","28000","1.80330496","0.1450540526037598","epyc7","1.94835901260376","1.94835901260376","1"
"npb-3.3-CG-makea_2","9000","NvidiaA100","144000","36000","2.53072384","0.1481532752496339","epyc7","2.678877115249634","2.678877115249634","1"
"npb-3.3-CG-makea_2","11000","NvidiaA100","176000","44000","3.57061632","0.1518809048077394","epyc7","3.7224972248077393","3.7224972248077393","1"
"npb-3.3-CG-makea_2","13000","NvidiaA100","208000","52000","4.4312576","0.1556476410125734","epyc7","4.586905241012573","4.586905241012574","1"
"npb-3.3-CG-makea_2","15000","NvidiaA100","240000","60000","5.55949056","0.1570943608831789","epyc7","5.716584920883179","5.71658492088318","1"
"npb-3.3-CG-makea_2","17000","NvidiaA100","272000","68000","6.92261376","0.1672168769781497","epyc7","7.089830636978149","7.089830636978149","1"
"npb-3.3-CG-makea_2","19000","NvidiaA100","304000","76000","7.77595392","0.1713670181103519","epyc7","7.947320938110352","7.947320938110352","1"
"npb-3.3-CG-makea_4","1000","NvidiaA100","12008","8000","0.2729216","0.1658830264648437","epyc7","0.4388046264648437","0.4388046264648437","1"
"npb-3.3-CG-makea_4","3000","NvidiaA100","36008","24000","1.2143616","0.1440616330322266","epyc7","1.3584232330322266","1.3584232330322266","1"
"npb-3.3-CG-makea_4","5000","NvidiaA100","60008","40000","2.23627776","0.1454249015142823","epyc7","2.3817026615142822","2.3817026615142822","1"
"npb-3.3-CG-makea_4","7000","NvidiaA100","84008","56000","3.50902272","0.1510851310284425","epyc7","3.6601078510284415","3.6601078510284415","1"
"npb-3.3-CG-makea_4","9000","NvidiaA100","108008","72000","4.95876096","0.1525900531835939","epyc7","5.111351013183594","5.111351013183594","1"
"npb-3.3-CG-makea_4","11000","NvidiaA100","132008","88000","6.530119679999999","0.1552052273028567","epyc7","6.685324907302856","6.685324907302856","1"
"npb-3.3-CG-makea_4","13000","NvidiaA100","156008","104000","8.117708799999999","0.1592377446472172","epyc7","8.276946544647217","8.276946544647217","1"
"npb-3.3-CG-makea_4","15000","NvidiaA100","180008","120000","10.03672576","0.1649858946630862","epyc7","10.201711654663086","10.201711654663086","1"
"npb-3.3-CG-makea_4","17000","NvidiaA100","204008","136000","11.62004992","0.1706464625225835","epyc7","11.790696382522585","11.790696382522585","1"
